"season_year","home_team","away_team","winning"
2010,"TEN","PIT",-1
2010,"DAL","CHI",-1
2010,"DET","PHI",-1
2010,"ATL","ARI",1
2009,"MIN","CHI",1
2009,"NYJ","CAR",1
2009,"PHI","WAS",1
2009,"STL","SEA",-1
2009,"ATL","TB",1
2009,"BUF","MIA",1
2009,"CIN","CLE",1
2009,"HOU","IND",-1
2009,"ATL","CHI",1
2009,"TEN","ARI",1
2009,"SD","KC",1
2009,"SF","DET",1
2012,"OAK","SD",-1
2012,"BAL","CIN",1
2011,"NYG","STL",1
2011,"DEN","NYJ",1
2010,"PHI","WAS",-1
2010,"SD","ARI",1
2010,"NYG","CHI",1
2011,"IND","ATL",-1
2011,"OAK","DEN",-1
2011,"WAS","SF",-1
2011,"NO","TB",1
2011,"KC","MIA",-1
2011,"DAL","SEA",1
2011,"BUF","NYJ",-1
2011,"HOU","CLE",1
2011,"TEN","CIN",-1
2011,"NE","NYG",-1
2012,"TEN","HOU",-1
2012,"DEN","TB",1
2012,"STL","SF",1
2012,"NYJ","ARI",1
2012,"CHI","SEA",-1
2012,"GB","MIN",1
2012,"BUF","JAC",1
2012,"MIA","NE",-1
2012,"KC","CAR",1
2012,"DET","IND",-1
2010,"DAL","TEN",-1
2010,"OAK","SD",1
2010,"SF","PHI",-1
2010,"NYJ","MIA",-1
2010,"ARI","DEN",1
2010,"SD","KC",1
2010,"DAL","PHI",-1
2012,"NYJ","SD",-1
2012,"ARI","CHI",-1
2012,"SEA","SF",1
2012,"HOU","MIN",-1
2012,"DEN","CLE",1
2010,"SD","OAK",-1
2010,"CIN","NO",-1
2010,"KC","DEN",1
2010,"TEN","JAC",-1
2010,"MIA","CLE",-1
2010,"MIN","BUF",1
2010,"TB","ATL",-1
2010,"GB","SF",1
2010,"DET","CHI",-1
2010,"NYG","WAS",1
2012,"ARI","SF",-1
2012,"PHI","CAR",-1
2009,"BUF","NO",-1
2009,"TB","NYG",-1
2009,"NE","ATL",1
2009,"MIN","SF",1
2009,"STL","GB",-1
2009,"PHI","KC",1
2009,"CIN","PIT",1
2009,"BAL","CLE",1
2009,"HOU","JAC",-1
2009,"DET","WAS",1
2009,"CAR","PHI",-1
2011,"BAL","HOU",1
2011,"TB","NO",1
2009,"SEA","TB",-1
2009,"SD","CIN",1
2011,"ATL","CAR",1
2009,"CAR","MIN",1
2011,"NYG","BUF",1
2011,"CIN","IND",1
2011,"PIT","JAC",1
2011,"WAS","PHI",-1
2011,"SEA","STL",1
2010,"IND","NYG",1
2010,"SD","JAC",1
2010,"CIN","BAL",1
2010,"NYJ","NE",1
2010,"OAK","STL",1
2011,"IND","CLE",-1
2011,"WAS","ARI",1
2011,"MIN","TB",-1
2011,"CAR","GB",-1
2011,"DET","KC",1
2011,"BUF","OAK",1
2011,"TEN","BAL",1
2011,"NYJ","JAC",1
2011,"NO","CHI",1
2011,"PIT","SEA",1
2009,"DEN","KC",-1
2009,"OAK","BAL",-1
2009,"TB","ATL",-1
2009,"ARI","GB",-1
2009,"SD","WAS",1
2009,"SEA","TEN",-1
2010,"OAK","HOU",-1
2010,"JAC","IND",1
2010,"STL","SEA",1
2010,"NO","CAR",1
2010,"ATL","SF",1
2010,"GB","DET",1
2010,"TEN","DEN",-1
2010,"PIT","BAL",-1
2010,"CLE","CIN",1
2010,"BUF","NYJ",-1
2011,"ARI","STL",1
2011,"SD","GB",-1
2011,"PIT","BAL",-1
2010,"MIN","CHI",-1
2009,"BAL","PIT",1
2009,"SF","JAC",1
2010,"JAC","TEN",-1
2011,"GB","MIN",1
2012,"OAK","CLE",-1
2012,"BAL","PIT",-1
2012,"PIT","NYJ",1
2012,"SD","TEN",1
2010,"WAS","GB",1
2010,"IND","KC",1
2010,"BAL","DEN",1
2010,"BUF","JAC",-1
2010,"CLE","ATL",-1
2010,"CIN","TB",-1
2010,"CAR","CHI",-1
2010,"DET","STL",1
2010,"ARI","NO",1
2010,"HOU","NYG",-1
2012,"STL","ARI",1
2009,"MIA","NO",-1
2009,"NYG","ARI",-1
2009,"DEN","SD",-1
2009,"NE","NYJ",1
2009,"OAK","CIN",1
2009,"CHI","PHI",-1
2010,"SF","SEA",1
2010,"NO","STL",1
2010,"CAR","ATL",-1
2010,"DET","GB",1
2010,"WAS","TB",-1
2010,"JAC","OAK",1
2010,"PIT","CIN",1
2010,"BUF","CLE",1
2010,"CHI","NE",-1
2012,"BAL","NYG",1
2012,"TB","STL",-1
2012,"KC","IND",-1
2012,"JAC","NE",-1
2012,"PHI","WAS",-1
2012,"DAL","NO",-1
2012,"CAR","OAK",1
2012,"GB","TEN",1
2012,"PIT","CIN",-1
2012,"MIA","BUF",1
2012,"STL","NE",-1
2012,"PHI","ATL",-1
2012,"CHI","CAR",1
2012,"DET","SEA",1
2012,"NYJ","MIA",-1
2012,"CLE","SD",1
2012,"TEN","IND",-1
2012,"PIT","WAS",1
2012,"KC","OAK",-1
2009,"CHI","MIN",1
2010,"PHI","GB",-1
2010,"SEA","SF",1
2010,"WAS","DAL",1
2010,"NO","TB",-1
2010,"DEN","SD",-1
2010,"GB","CHI",1
2010,"ATL","CAR",1
2009,"IND","NYJ",-1
2009,"WAS","DAL",-1
2012,"DAL","PHI",1
2011,"CHI","MIN",1
2011,"NE","DAL",1
2011,"SEA","SF",-1
2011,"DET","SD",1
2011,"DAL","PHI",-1
2011,"BAL","SF",1
2011,"DET","GB",-1
2011,"DAL","MIA",1
2009,"CAR","NO",1
2009,"BUF","IND",1
2009,"DAL","PHI",1
2009,"CLE","JAC",1
2009,"HOU","NE",1
2009,"DET","CHI",-1
2009,"MIN","NYG",1
2009,"MIA","PIT",-1
2009,"STL","SF",-1
2009,"NYJ","CIN",1
2012,"SD","CIN",-1
2012,"PIT","KC",1
2011,"ATL","JAC",1
2010,"PIT","CAR",1
2012,"NYG","PIT",-1
2012,"ATL","DAL",1
2010,"IND","HOU",1
2011,"MIA","HOU",-1
2011,"DEN","CIN",1
2011,"NE","SD",1
2011,"SF","DAL",-1
2011,"ATL","PHI",1
2011,"PIT","CLE",1
2012,"STL","WAS",1
2012,"SEA","DAL",1
2012,"CAR","NO",1
2012,"NYG","TB",1
2012,"IND","MIN",1
2012,"NE","ARI",-1
2012,"BUF","KC",1
2012,"PHI","BAL",1
2012,"JAC","HOU",-1
2012,"CIN","CLE",1
2009,"DAL","ATL",1
2009,"OAK","NYJ",-1
2009,"STL","IND",-1
2009,"PIT","MIN",1
2010,"NYJ","MIN",1
2009,"TB","NE",-1
2009,"CLE","GB",-1
2009,"CIN","CHI",1
2009,"KC","SD",-1
2009,"HOU","SF",1
2009,"GB","BAL",1
2012,"DET","ATL",-1
2009,"NYG","ATL",1
2009,"MIN","SEA",1
2009,"KC","PIT",1
2009,"JAC","BUF",1
2009,"GB","SF",1
2009,"DET","CLE",1
2009,"DAL","WAS",1
2009,"BAL","IND",-1
2009,"STL","ARI",-1
2009,"TB","NO",-1
2011,"PHI","CHI",-1
2010,"HOU","BAL",-1
2010,"MIN","NYG",-1
2011,"BAL","NYJ",1
2010,"PIT","ATL",1
2010,"STL","ARI",-1
2010,"HOU","IND",1
2010,"NE","CIN",1
2010,"BUF","MIA",-1
2010,"TB","CLE",1
2010,"CHI","DET",1
2010,"NYG","CAR",1
2010,"TEN","OAK",1
2010,"JAC","DEN",1
2011,"GB","DEN",1
2010,"NYJ","BUF",1
2010,"NE","MIA",1
2009,"NO","TB",-1
2011,"GB","NO",1
2010,"IND","TEN",1
2010,"HOU","JAC",1
2010,"PHI","DAL",-1
2010,"KC","OAK",-1
2010,"DET","MIN",1
2010,"WAS","NYG",-1
2012,"DEN","NO",1
2012,"DAL","NYG",-1
2009,"PIT","BAL",1
2009,"PHI","DEN",1
2010,"PHI","MIN",-1
2011,"PIT","STL",1
2011,"CIN","ARI",1
2011,"NYJ","NYG",-1
2011,"KC","OAK",-1
2011,"CAR","TB",1
2011,"WAS","MIN",-1
2011,"NE","MIA",1
2011,"BUF","DEN",1
2011,"TEN","JAC",1
2011,"BAL","CLE",1
2010,"NYG","DAL",-1
2010,"ARI","SEA",-1
2010,"IND","CIN",1
2010,"JAC","HOU",1
2010,"MIA","TEN",1
2010,"CLE","NYJ",-1
2010,"BUF","DET",1
2010,"CIN","PIT",-1
2010,"CHI","MIN",1
2010,"TB","CAR",1
2012,"NYG","DAL",-1
2012,"WAS","MIN",1
2012,"HOU","GB",-1
2012,"OAK","TB",-1
2012,"SEA","MIN",1
2012,"IND","MIA",1
2012,"HOU","BUF",1
2012,"CLE","BAL",-1
2012,"CIN","DEN",-1
2012,"TEN","CHI",-1
2012,"JAC","DET",-1
2012,"GB","ARI",1
2012,"WAS","CAR",-1
2010,"SF","NO",-1
2012,"GB","JAC",1
2011,"SEA","PHI",1
2011,"KC","SD",1
2012,"CHI","HOU",-1
2011,"SD","MIA",1
2009,"WAS","NO",-1
2009,"CLE","SD",-1
2009,"CHI","STL",1
2009,"CIN","DET",1
2009,"ATL","PHI",-1
2009,"CAR","TB",1
2009,"KC","DEN",-1
2009,"PIT","OAK",-1
2009,"IND","TEN",1
2009,"JAC","HOU",1
2009,"HOU","TEN",-1
2012,"NE","HOU",1
2010,"NYJ","CIN",1
2010,"DET","NE",-1
2010,"DAL","NO",-1
2011,"SEA","ATL",-1
2011,"OAK","NE",-1
2010,"NYJ","BAL",-1
2010,"KC","SD",1
2010,"PIT","NE",-1
2010,"SF","STL",1
2011,"HOU","CAR",-1
2011,"GB","CHI",1
2012,"CAR","NYG",-1
2012,"MIA","STL",1
2012,"PHI","DET",-1
2012,"ARI","BUF",-1
2012,"BAL","DAL",1
2012,"TB","KC",1
2012,"ATL","OAK",1
2012,"CLE","CIN",1
2012,"NYJ","IND",1
2012,"SF","NYG",-1
2012,"SEA","NE",1
2012,"NO","PHI",1
2012,"CIN","NYG",1
2012,"BAL","OAK",1
2012,"MIN","DET",1
2012,"NO","ATL",1
2012,"TB","SD",1
2012,"CAR","DEN",-1
2012,"NE","BUF",1
2012,"MIA","TEN",-1
2012,"PHI","DAL",-1
2012,"SEA","NYJ",1
2010,"WAS","PHI",-1
2011,"PIT","NE",1
2010,"SF","ARI",1
2011,"STL","NO",1
2011,"BAL","ARI",1
2011,"DEN","DET",-1
2011,"BUF","WAS",1
2011,"NYG","MIA",1
2011,"HOU","JAC",1
2011,"TEN","IND",1
2011,"CAR","MIN",-1
2011,"MIA","NE",-1
2011,"DEN","OAK",-1
2011,"OAK","NYJ",1
2011,"SD","KC",1
2011,"TEN","DEN",1
2011,"PHI","NYG",-1
2011,"MIN","DET",-1
2011,"CIN","SF",-1
2011,"CAR","JAC",1
2011,"NO","HOU",1
2011,"BUF","NE",1
2011,"CLE","MIA",1
2010,"MIA","CHI",-1
2009,"JAC","IND",-1
2012,"DAL","CHI",-1
2011,"DAL","DET",-1
2011,"HOU","PIT",1
2011,"CLE","TEN",-1
2011,"CIN","BUF",1
2011,"JAC","NO",-1
2011,"STL","WAS",-1
2011,"CHI","CAR",1
2011,"PHI","SF",-1
2011,"ARI","NYG",-1
2011,"KC","MIN",1
2012,"OAK","KC",1
2012,"NE","SF",-1
2012,"BUF","SEA",-1
2012,"DAL","PIT",1
2010,"CLE","PIT",-1
2012,"PHI","NYG",1
2012,"GB","NO",1
2012,"TB","WAS",-1
2011,"NO","ATL",1
2012,"BAL","CLE",1
2009,"OAK","SD",-1
2009,"NE","BUF",1
2009,"SF","CHI",1
2012,"CHI","DET",1
2012,"SD","DEN",-1
2012,"NYJ","NE",-1
2012,"DAL","WAS",-1
2012,"DET","HOU",-1
2009,"SF","TEN",-1
2009,"PHI","DAL",-1
2011,"PIT","TEN",1
2011,"HOU","OAK",-1
2011,"IND","KC",-1
2011,"JAC","CIN",-1
2011,"NYG","SEA",-1
2011,"MIN","ARI",1
2011,"CAR","NO",-1
2011,"BUF","PHI",1
2011,"SF","TB",1
2011,"NE","NYJ",1
2011,"PHI","DAL",1
2011,"SEA","CIN",-1
2009,"WAS","PHI",-1
2011,"TB","ATL",1
2011,"SEA","ARI",1
2011,"CHI","GB",-1
2011,"STL","BAL",-1
2010,"PHI","HOU",1
2011,"IND","PIT",-1
2011,"STL","SF",-1
2011,"DEN","KC",-1
2011,"ATL","TB",1
2011,"NO","CAR",1
2011,"OAK","SD",-1
2011,"ARI","SEA",1
2009,"SF","ARI",1
2012,"ATL","NYG",1
2012,"CHI","GB",-1
2012,"STL","MIN",-1
2012,"NO","TB",1
2012,"MIA","JAC",1
2012,"CLE","WAS",-1
2012,"HOU","IND",1
2012,"BAL","DEN",-1
2012,"SD","CAR",-1
2012,"ARI","DET",1
2011,"TB","IND",1
2012,"STL","SEA",1
2012,"ATL","CAR",1
2012,"ARI","MIA",1
2012,"NYJ","SF",-1
2012,"HOU","TEN",1
2012,"BUF","NE",-1
2012,"DET","MIN",-1
2012,"KC","SD",-1
2012,"JAC","CIN",-1
2012,"DEN","OAK",1
2010,"ATL","BAL",1
2009,"IND","SF",1
2009,"NYJ","MIA",-1
2009,"DET","STL",-1
2009,"GB","MIN",-1
2009,"CHI","CLE",1
2009,"DAL","SEA",1
2009,"BAL","DEN",1
2009,"BUF","HOU",-1
2009,"SD","OAK",1
2009,"TEN","JAC",1
2010,"NO","MIN",1
2010,"BAL","PIT",-1
2011,"OAK","CLE",1
2010,"ARI","DAL",1
2009,"NO","CAR",1
2009,"TB","GB",1
2009,"NE","MIA",1
2009,"JAC","KC",1
2009,"IND","HOU",1
2009,"CIN","BAL",1
2009,"CHI","ARI",-1
2009,"ATL","WAS",1
2009,"NYG","SD",-1
2009,"SEA","DET",1
2012,"MIN","TB",-1
2012,"SF","CHI",1
2012,"ATL","NO",1
2012,"ATL","DEN",1
2011,"ATL","GB",-1
2011,"DEN","SD",-1
2009,"MIN","GB",1
2010,"SD","DEN",1
2009,"NE","TEN",1
2009,"NYJ","BUF",-1
2011,"NE","BUF",1
2011,"MIA","NYJ",1
2011,"CLE","PIT",-1
2011,"CIN","BAL",-1
2011,"JAC","IND",1
2011,"HOU","TEN",-1
2011,"PHI","WAS",1
2011,"NYG","DAL",1
2011,"MIN","CHI",-1
2011,"GB","DET",1
